iter	Logloss
0	0.5185649933
1	0.398422087
2	0.3186737426
3	0.2601730649
4	0.2196030012
5	0.1886718533
6	0.1675891284
7	0.1526757786
8	0.1415387535
9	0.1322951636
10	0.1260326675
11	0.1208541824
12	0.1167897375
13	0.1140752954
14	0.1110747925
15	0.1083346774
16	0.1062854351
17	0.1048266326
18	0.1036978507
19	0.1024428282
20	0.1013024208
21	0.1003661704
22	0.09935797631
23	0.09851964696
24	0.09753689182
25	0.09673643094
26	0.09594773978
27	0.09484380696
28	0.09392702566
29	0.0933107214
30	0.09249877358
31	0.09164532112
32	0.09106751231
33	0.09039023573
34	0.08968455673
35	0.08868903357
36	0.08812863583
37	0.08746026688
38	0.08689138712
39	0.08623697302
40	0.08568826216
41	0.08536420856
42	0.08445957688
43	0.08393402842
44	0.08347877551
45	0.08281937274
46	0.08230251768
47	0.08172278224
48	0.08110086376
49	0.08057198333
50	0.08009965212
51	0.07959546511
52	0.07925711817
53	0.07868982513
54	0.07826328885
55	0.07792036884
56	0.0775563259
57	0.0770526816
58	0.07666122454
59	0.07598298536
60	0.07568248119
61	0.0751012133
62	0.07477479033
63	0.07409169673
64	0.0737125421
65	0.07319608551
66	0.07276415923
67	0.07238639423
68	0.07200803225
69	0.0716196358
70	0.07114405545
71	0.07081798666
72	0.07039772014
73	0.07014509463
74	0.06975217082
75	0.06933949084
76	0.06891883727
77	0.06860771736
78	0.06828325672
79	0.06781402325
80	0.06741908997
81	0.06709375671
82	0.06676833061
83	0.06636838295
84	0.06602098986
85	0.06580035582
86	0.06533191642
87	0.06499881523
88	0.06454480627
89	0.06422184666
90	0.06398622805
91	0.06357611453
92	0.0632910491
93	0.06293630511
94	0.06271003115
95	0.06239712171
96	0.06203268316
97	0.06176854644
98	0.06158315586
99	0.06132294667
